AAPL,AppleInc
GOOGL,Google
GOOG,Google
MSFT,Microsoft
AMZN,Amazon
FB,Facebook
XOM,ExxonMobil
JNJ,JNJcares
JPM,JPMorganChase
WFC,WellsFargo
BAC,BankofAmerica
GE,GeneralElectric
T,ATTInc
PG,ProcterGamble
WMT,WalMartStores
CVX,ChevronCorp
V,VisaInc
PFE,Pfizer
VZ,VerizonCommunications
MRK,MerckCo
KO,CocaCola
CMCSA,Comcast
HD,HomeDepot
DIS,WaltDisneyCompany
ORCL,Oracle
PM,PhilipMorris
CSCO,Cisco
IBM,InternationalBusinessMachines
INTC,Intel
C,Citigroup
UNH,UnitedHealthGroup
PEP,Pepsi
MO,AltriaGroup
AMGN,Amgen
MA,Mastercard
MMM,3MCompany
MDT,Medtronic
BA,Boeing
SLB,Schlumberger
KHC,KraftHeinz
MCD,McDonald's
GS,GoldmanSachs
ABBV,AbbVie
HON,Honeywell
CELG,Celgene
BMY,BristolMyersSquibb
NKE,Nike
USB,USBancorp
WBA,WalgreensBoots
UPS,UnitedParcelService
UTX,UnitedTechnologies
GILD,GileadSciences
UNP,UnionPacific
AVGO,Broadcom
RAI,ReynoldsAmerican
LLY,EliLilly
CHTR,CharterCommunications
MS,MorganStanley
CVS,CVSHealth
PCLN,Priceline.com
QCOM,QUALCOMM
SBUX,Starbucks
AGN,Allergan
TXN,TexasInstruments
ABT,AbbottLaboratories
LMT,LockheedMartin
ACN,Accenture
DOW,DowChemical
TWX,TimeWarner
COST,Costco
AXP,AmericanExpress
LOW,LowesCos
DD,DuPont
MDLZ,MondelezInternational
CL,ColgatePalmolive
CB,ChubbLimited
BIIB,BIOGENIDEC
BLK,BlackRock
AIG,AmericanInternationalGroup
PNC,PNCFinancial
TMO,ThermoFisherScientific
NEE,NextEraEnergy
NFLX,Netflix
DHR,DanaherCorp
ADBE,Adobe
COP,ConocoPhillips
CRM,Salesforce
NVDA,Nvidia
MET,MetLifeInc
GD,GeneralDynamics
EOG,EOGResources
DUK,DukeEnergy
FOXA,TwentyFirstCenturyFox
CAT,Caterpillar
GM,GeneralMotors
FOX,TwentyFirstCenturyFox
SCHW,CharlesSchwab
SPG,SimonPropertyGroup
PYPL,PayPal
TJX,TJXCompanies
